,DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp],Day-Ahead forecast (11h00) [MW],predictions,RMSE_predictions,RMSE_elia
1324,2021-08-19 12:00:00,21327.41,23008.11,30778.44,18261.13,18261.13,76600.96,24860.69,19029.638567545862,14295.481527454524,1576.2004608557265
1325,2021-08-19 16:00:00,10489.56,12146.43,13867.6,12569.83,12569.83,76600.96,13139.27,6355.270635635928,14295.481527454524,1576.2004608557265
1326,2021-08-19 20:00:00,179.69,172.16,0.0,258.46999999999997,258.46999999999997,76600.96,186.77,-492.5158485741448,14295.481527454524,1576.2004608557265
1327,2021-08-20 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-556.5830213655252,14295.481527454524,1576.2004608557265
1328,2021-08-20 04:00:00,478.78999999999996,462.16999999999996,739.6899999999999,402.93,402.93,76600.96,495.63,-343.4727916161809,14295.481527454524,1576.2004608557265
1329,2021-08-20 08:00:00,14520.52,14406.35,17221.96,14300.15,14300.15,76600.96,15601.85,11790.57826968804,14295.481527454524,1576.2004608557265
1330,2021-08-20 12:00:00,29663.91,31075.04,27934.88,25291.82,25291.82,76600.96,30499.45,24729.86616368741,14295.481527454524,1576.2004608557265
1331,2021-08-20 16:00:00,13362.32,17298.91,13705.78,12842.3,12842.3,76600.96,15753.48,7406.85907052055,14295.481527454524,1576.2004608557265
1332,2021-08-20 20:00:00,191.67000000000002,206.94,0.0,164.45000000000002,164.45000000000002,76600.96,189.29,-487.76851931299086,14295.481527454524,1576.2004608557265
1333,2021-08-21 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-575.7633774876501,14295.481527454524,1576.2004608557265
1334,2021-08-21 04:00:00,796.4499999999999,792.51,848.25,815.37,815.37,76600.96,819.6500000000001,-361.1002799668815,14295.481527454524,1576.2004608557265
1335,2021-08-21 08:00:00,25087.43,24876.670000000002,24326.54,26675.46,26675.46,76600.96,26067.69,9818.62740275763,14295.481527454524,1576.2004608557265
1336,2021-08-21 12:00:00,37727.34,37701.01,40380.03,37363.89,37363.89,76600.96,38754.26,24136.126532849372,14295.481527454524,1576.2004608557265
1337,2021-08-21 16:00:00,13192.36,14340.9,17216.54,12082.279999999999,12082.279999999999,76600.96,14432.4,6072.348146184161,14295.481527454524,1576.2004608557265
1338,2021-08-21 20:00:00,103.31,129.54,0.0,40.61,40.61,76600.96,130.37,-480.39935469160787,14295.481527454524,1576.2004608557265
1339,2021-08-22 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-542.3686990525853,14295.481527454524,1576.2004608557265
1340,2021-08-22 04:00:00,400.62,401.89,624.97,495.41,495.41,76600.96,440.07,-385.5211964902934,14295.481527454524,1576.2004608557265
1341,2021-08-22 08:00:00,12145.16,13153.52,14875.47,14242.69,14242.69,76600.96,14287.24,6768.97779000625,14295.481527454524,1576.2004608557265
1342,2021-08-22 12:00:00,19467.03,20288.260000000002,28257.19,22599.0,22599.0,76600.96,23897.52,21508.366505702437,14295.481527454524,1576.2004608557265
1343,2021-08-22 16:00:00,10500.26,10125.35,14803.47,12032.82,12032.82,76600.96,10524.98,6459.897188923508,14295.481527454524,1576.2004608557265
1344,2021-08-22 20:00:00,108.95,118.5,0.0,99.53999999999999,99.53999999999999,76600.96,113.71000000000001,-496.01250212649813,14295.481527454524,1576.2004608557265
1345,2021-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-534.0782251525204,14295.481527454524,1576.2004608557265
1346,2021-08-23 04:00:00,361.48,342.49,452.95,183.88,183.88,76600.96,313.64,-332.4905820250418,14295.481527454524,1576.2004608557265
1347,2021-08-23 08:00:00,13177.72,14467.37,11291.67,11078.34,11078.34,76600.96,14210.34,8978.108500844091,14295.481527454524,1576.2004608557265
1348,2021-08-23 12:00:00,24984.86,30605.87,21860.55,24479.79,24479.79,76600.96,33743.22,19630.35448058367,14295.481527454524,1576.2004608557265
1349,2021-08-23 16:00:00,13232.68,16318.68,12318.68,10112.2,10112.2,76600.96,17415.49,2727.6451444096865,14295.481527454524,1576.2004608557265
1350,2021-08-23 20:00:00,138.2,157.25,154.19,150.18,150.18,76600.96,155.3,-498.97254377133214,14295.481527454524,1576.2004608557265
1351,2021-08-24 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-560.5008776140493,14295.481527454524,1576.2004608557265
1352,2021-08-24 04:00:00,761.14,780.48,673.94,752.8,752.8,76600.96,771.81,-414.32406162275936,14295.481527454524,1576.2004608557265
1353,2021-08-24 08:00:00,30404.510000000002,31375.4,19006.79,30443.92,30443.92,76600.96,30875.61,6450.3062742079055,14295.481527454524,1576.2004608557265
